# snapshot 2026-09-23
BepInEx/	-	-	dir
BepInEx/plugins/	-	-	dir
VRisingServer.exe	1000	100	-
BepInEx/plugins/Nyarlathotep.dll	20	100	A1B2C3D4E5F60718293A4B5C6D7E8F90A1B2C3D4E5F60718293A4B5C6D7E8F90
BepInEx/LogOutput.log	300	100	A1B2C3D4E5F60718293A4B5C6D7E8F90A1B2C3D4E5F60718293A4B5C6D7E8F90
BepInEx/config/kdpen.Nyarlathotep.cfg	40	100	A1B2C3D4E5F60718293A4B5C6D7E8F90A1B2C3D4E5F60718293A4B5C6D7E8F90
LocalLow/VRising/Settings/ClientSettings.json	50	100	A1B2C3D4E5F60718293A4B5C6D7E8F90A1B2C3D4E5F60718293A4B5C6D7E8F90
LocalServer/	-	-	dir
LocalServer/Saves/	-	-	dir
LocalServer/Saves/v4/world1/AutoSave_7.save.gz	9000	50	B1B2C3D4E5F60718293A4B5C6D7E8F90A1B2C3D4E5F60718293A4B5C6D7E8F90
