# snapshot 2026-09-23
BepInEx/	-	-	dir
BepInEx/plugins/	-	-	dir
VRisingServer.exe	1000	100	-
BepInEx/plugins/Nyarlathotep.dll	20	100	A1B2C3D4E5F60718293A4B5C6D7E8F90A1B2C3D4E5F60718293A4B5C6D7E8F90
BepInEx/LogOutput.log	900	200	0F9E8D7C6B5A49382716F5E4D3C2B1A00F9E8D7C6B5A49382716F5E4D3C2B1A0
BepInEx/config/kdpen.Nyarlathotep.cfg	40	100	A1B2C3D4E5F60718293A4B5C6D7E8F90A1B2C3D4E5F60718293A4B5C6D7E8F90
LocalLow/VRising/Settings/ClientSettings.json	50	100	A1B2C3D4E5F60718293A4B5C6D7E8F90A1B2C3D4E5F60718293A4B5C6D7E8F90
logs/NyarSpikes.log	800	200	A1B2C3D4E5F60718293A4B5C6D7E8F90A1B2C3D4E5F60718293A4B5C6D7E8F90
logs/VRisingServer_2026-09-23.txt	700	200	A1B2C3D4E5F60718293A4B5C6D7E8F90A1B2C3D4E5F60718293A4B5C6D7E8F90
save-data-nyarspikes/	-	-	dir

